,reviews
1548,"These are so unusual.  I will wear them often.

Also shipped very quickly with all the other items that I ordered.

Thank you!"
1549,"Cute earrings, shipped quickly!"
1550,They are the perfect gift! And the shipping was extremely fast!
1551,Excellent service and an excellent product!
1552,Very elegant and exquisite jewelry
1553,Love these earrings! Arrived quickly!
1554,Excellent - value for money - swift delivery.
1555,Was a gift that was a huge success. They especially loved all the postage that was from Greece haha
1556,Really fast shipping.  Nice earrings
1557,"Great earrings, fast shipping."
1558,Nice quality earrings. Very attractive and well-made
1559,The earrings are delicate and unusual
1560,"Very beautiful, and so was the pink pair of crystal studs I purchased as well. The seller has a keen eye for beauty. Package arrived quickly and in excellent shape."
1561,Absolutely LOVE!
1562,Love these earrings and shipping was so fast! Will be ordering from here again! Thanks💕
1563,"Love them! All I get is compliments, they are perfect! 😍"
1564,Absolutely stunning and excellent quality. Exceptionally fast delivery. Highly recommend.
1565,These earrings are absolutely stunning. Im so happy with my purchase. They showed up in great condition and didnt have to wait long for them to show up. I think they are great for casual and dressup.
1566,Very happy to add these to my collection of jewelry. So beautiful.
1567,"Hi, Yes I got my earrings on time and I love them.. I have ordered  a few things and been very happy with what I have ordered, ring and earrings .. Thank you..."
1568,"The shipping was a little slower than I expected. I ordered this item on March 9th and received it March 27th. However, the earrings are beautiful and worth the wait! The shop was also quick to respond to my message about the shipping and was very helpful and friendly. I will purchase from them again!"
1569,The earrings are so pretty and the packaging is adorable! Thank you!!
1570,Love these earrings!!!  I get so many compliments!
1571,Great earrings! I love them and shipping was fast!
1572,so pretty! I love them!
1573,I loved my earrings ! It’s my second purchase and will not be my last. ❤️
1574,Loved these when I got them. Loved them until the ball separated from the post today. Looks like I’ll have to replace them through someone else.
1575,"Love them. Sterling silver is all that my ears can handle, and they're so pretty. Exactly what I was looking for!"
1576,Love these! Sparkly and they go with everything! Have gotten tons of compliments on them!
1577,Love these! They are my favorite every day earrings!
1578,These earrings are absolutely stunning and very sparkly.  I love them.
1579,I LOVE these earrings and have been wearing them everyday since I received them. Amazing quality and very comfortable. I'm sure this won't be my last purchase from this shop. :)
1580,"These earrings are even more beautiful in person! I love them!

After not receiving the first pair in the mail, I contacted the seller and she was fabulous to deal with. Great communication and she sent me another pair, which arrived in a timely manner.

Thank you again! 😊"
1581,So beautiful! I love them so much!
1582,These are my new favorite earrings. Perfect for everyday.
1583,"Came packaged very well in a gift bag that can be reused.  Love these silver stud, nicely made.  Fast delivery too :-)   Would love to see one in a light blue....."
1584,So shiny and just perfect for a small earring!
1585,Very cute and sparkly! I love them!
1586,Great! Really beautiful and classy. Definitely not cheap or flimsy. Also they seem to agree with my ear piercings which tend to be sensitive to certain metals. Very happy! Would order from again.
1587,Love these little earrings. I would definitely order from this shop again.
1588,"LOVE these! Perfect Size, super cute"
1589,"I absolutely love my Savi Jewelry order, thank you!

I have never had any issues with an order being fragile or loose etc, I am not sure why others are saying they are having issues because I have ordered over 50 peices of jewelry in the past 3 years and Savi is the only place I now buy my jewels from. 

I order for family and friends for Birthdays and Christmas and no one has ever had an issue or complaints either and absolutely loves their Savi Jewelry. 

Thanks again"
1590,"These earrings are beautiful, I love them."
1591,Beautiful earrings! Love the sparkle! Great service.
1592,"Beautiful earrings, just love them! Fast shipping too. Will be ordering again!"
1593,I love these! They are so cute! Can wear with about anything!
1594,Very beautiful and well made!
1595,"This is my second purchase with this shop and once again, I'm very  happy. I cannot wait to give these beautiful earrings to my bridesmaids."
1596,"Bought these for my bridesmaids, and I absolutely love them!! Very happy with this purchase :)"
1597,Beautiful earrings!  Super fast delivery!!
1598,Prefect Christmas gift and so sparkly
1599,Beautiful earrings! They go with everything!
1600,"Pretty, don't irritate my ears! Shipping was fast"
1601,"Love them!!!Great product, great seller!"
1602,Very pretty and quite sparkly without being showy.
1603,Loved them at first but it’s been about 2 months and the diamonds have almost all fallen out.
1604,Love them.......  and shipped fast
1605,Gorgeous earrings! 👌🏻
1606,Exactly what have been looking for!!!
1607,Like these a lot! Have not rusted and look nice dressed up or down
1608,So excited to give these as Christmas gifts. Ordered 3 pairs and will be ordering more!
1609,"Very cute, I love it"
1610,"Beautiful and exactly as pictured, but unfortunately after a couple of wears, the ball separated from the post."
1611,Arrived on time and i love these sparkling earring .Thank you
1612,"Nice quality earrings, very pretty. Arrived on time, pleased with purchase."
1613,"Sweet earrings, great service! Love."
1614,Beautiful earrings! Thank you so much!
1615,Earrings are as beautiful as shown.
1616,Beautiful!!!!! Great deal and fast shipping!!!!!!
1617,item as described. thank you
1618,Beautiful earrings and received very quickly!
1619,"My wife loved it, so 5 star"
1620,Très joli petit bijou que j'ai reçu avec plaisir. C'est un très joli travail qui correspond tout à fait à ce que j'attendais. Merci beaucoup !
1621,"Just recieved it today and i love it! It took about 3 weeks to ship to the US. I got the gold udjat bracelet and it is gorgeous. Light weight, nice to wear. And fits perfectly since I have smaller wrists. Love it and highly reccomend!"
1622,"Ι am an old customer and perhaps I am not entirely objective, but both the service and the ring have been exemplary. I will be coming back and I am very pleased...Thank you, once again..."
1623,"Bague vraiment très belle. Mr Michel Comte est accueillant, à l'écoute, disponible par tél si besoin, mais réalise surtout un travail d'une très belle qualité. J'ai été bluffé rapport qualité/prix.
Sincèrement, cette bague et moi sommes maintenant inséparables, et je suis très heureuse de l'avoir commandé à cet homme passionné par son métier.
Savoir qu'elle a été faite mains et non pas à la chaîne la rend d'autant plus belle, précieuse et magique à mes yeux. Je la recommande, et vous recommande cet artiste . Vous pouvez commander les yeux fermés. Merci à Vous Mr Comte."
1624,"Bague vraiment très belle. Mr Michel Comte est accueillant, à l'écoute, disponible par tél si besoin, mais réalise surtout un travail d'une très belle qualité. J'ai été bluffé rapport qualité/prix.
Sincèrement, cette bague et moi sommes maintenant inséparables, et je suis très heureuse de l'avoir commandé à cet homme passionné par son métier.
Savoir qu'elle a été faite mains et non pas à la chaîne la rend d'autant plus belle, précieuse et magique à mes yeux. Je la recommande, et vous recommande cet artiste . Vous pouvez commander les yeux fermés. Merci à Vous Mr Comte."
1625,"Ein sehr schöner Anhänger- ich hatte ihn als Geschenk für eine Freundin gekauft, und sie liebt ihn. Ich auch...deshalb habe ich inzwischen auch einen für mich selbst bestellt..."
1626,Le boucles d'oreilles en argent atlantique est tres jolie. Merci beaucoup.
1627,Beautiful gold Ankh Ring made by Michel.  I absolutely love it and had no problems at all with the ordering and delivery service. Very satisfied.
1628,Merci pour ce pendentif qui est magnifique ... on ressent et on voit le travail de l'artisan. Le rapport qualité / prix est excellent
1629,Bijou superbe !!! je suis ravie et je recommanderai bientôt sur ce site ;)
1630,This ring was exactly the small size I needed. It has great workmanship and fit perfectly.
1631,"the pic here does not show the beauty, I received my ring 
today, and it is very beautiful.  Thank you all, will certainly
purchase more items from this store."
1632,Parfait ! Qualité et service au top !
1633,"Wonderful pendant, I love it and wear it all the time !"
1634,"Un cadeau fait a mon mari
Bague de très belle qualité 
Emballage soigner et la bague également très bien protéger 
Reçu le lendemain 
Et surtout fait part un artisan qui a la vocation de son métier c est rare de nos jours 
Et vraiment ravi de cette achat et mon mari ravi
Merci"
1635,"Ein schön verarbeiteter Atlantis-Ring, der mir persönlich sehr gut gefällt."
1636,"Thanks, very good work of are"
1637,Sublime pendentif de grande qualité. Très satisfaite de mon achat.
1638,Tout est parfait. Délai et qualité
1639,"Fait main, je suis très satisfait par le travail de l'artisan. Il m'a même contacté pour avoir une confirmation de la taille souhaitée. Merci."
1640,"schön. nein, verzögert versandt, wurde aber geklärt."
1641,"Super pendentif, on sent la qualité et je suis sûr de son originalité 😊"
1642,"Superbe bague en argent poli.
Le travail fourni est exceptionnel par rapport au prix, je ne peux que recommander ce monsieur."
1643,Excellent quality. Very happy with the rings.
1644,"Envoi soigné, très satisfaite. Je recommande."
1645,Schön verarbeiteter Atlantis-Ring. Schnelle Lieferung und problemlose Bestellung.
1646,"La bague est très belle mais elle est une taille trop grande pour moi.
Puis-je l'échanger SVP.
Bien cordialement,
P. Klipfel"
1647,Sehr schon gut gearbeitet ichiebe es. merci
1648,"Une bague magnifique, la taille correspond exactement à la demande. J'en suis vraiment content, merci beaucoup."
1649,Très belle creation !  Rapide rapide et soigné.
1650,Beautiful craftmanship!  Shipment arrived safe.
1651,"LOVE these earrings! This is the first pair of ear climbers I’ve ever owned, and they’re lovely. I ordered the pearly white color and they came just as pictured. I was concerned they would look odd with my second piercings, but the earring covers them up beautify. The left earring fit perfectly but the right one was a little too curved for my ear shape, so I had to bend it a little bit but now it looks just as good as the left one. They stay in place really well unless they get caught on something (like a hair brush). The gold accent bead makes them even more unique and I love the extra flair that it gives. I’m very pleased with my purchase. Would definitely recommend!"
1652,"I sadly just discovered the sorcery that IS the “ear climber,” and now I am simply doomed. These are so cute, so simple and so classic, and I am going to be the talk of the town when I flaunt these tomorrow! Thank you!"
1653,So cute! I love that it actually stays in and doesn't have to be adjusted every 2 seconds!
1654,Love!!!
1655,I LOVE my new earclimber! Fits my third piercing perfectly. I’ll probably be back for more.
1656,Love these gorgeous accessories! Well-crafted and quickly shipped and received. Will def do  repeat business with this shop again in the future!
1657,"Seller worked w/ me well... 

Beautiful handmade earring."
1658,"Very gorgeous and sexy. I love them, yes you get two for this great price!!"
1659,Gorgeous. I get so many compliments when I wear this.
1660,Beautiful!
1661,Love the way it looks.  Thanks!
1662,"I love this. Originally ordered it to put on the 2nd piercing on both sides, but if I put it in my lower piercing, I can still put the teardrop earrings from the same shop in my upper piercing-- I love it and get a ton of compliments and questions on where I've obtained my earrings."
1663,Beautiful and fits great! Always get compliments :)
1664,This piece was beautiful! Thank you.
1665,Beautiful! These are my favorite earrings!
1666,The earrings are lovely!  I've already received so many compliments :)
1667,These are very delicate I'm attractive earrings. I enjoyed the gold with the turquoise beads. Good quality and fast service.
1668,Very cute and unique earrings!  Fast shipping - thanks!
1669,I like them but too long for my ear!
1670,"My first order arrived partially damaged from shipping. On one of the climbers, the beads had been busted and the metal was severely bent. I contacted the seller to see if I could get a single replacement and the seller quickly sent out a brand new pair, which are in perfect condition and fit my ears snugly. Very pleased with the service and product."
1671,Very pretty. Got my earrings on time
1672,"I love the concept of the ear climber- it's different from regular earrings and therefore appealing; once in place easy to wear. However, these and others I've tried don't stay in place after a while and must be re-set which is annoying. Do you have any hints to keep them ""climbing the ear""?"
1673,Fit was just a bit to big.
1674,"Wowee, the hype is real.  Absolutely adore these earrings, definitely my new favorites.  The oxidized look is perfect, not overdone.  Very well made.  Shipped crazy fast.  Love this shop."
1675,"People make mistakes. How you deal with these mistakes is what makes a good shop a great shop. When I ordered these earrings for my mum, they were smaller than described. I contacted the shop and they told me they hadn't adjusted the descriptions yet so I was right. They offered to sent me a new pair in the right size free of charge and with this they went above and beyond what I expected. Turns out they aren't that much bigger after all.
I would recommend these earrings. However, it is important to keep in mind that the bars are actually a bit smaller (7 mm instead of 1 cm) than described. Also, if the space between the bottom of your earlobes and your piercing is broader than the model in de picture, the leaves of the flower won't stand out as much as they do in the pic. Other than that: nice!"
1676,"These are even more gorgeous in person! Lovely packaging, timely delivery, and quality pieces! Couldn't be happier!"
1677,These are BEAUTIFUL!!!  I love them!!  They are exactly as pictured. Renegadesilver was amazing with any questions I had and shipping was fast. Would definitely buy from this shop over and over.
1678,"Beautiful! Lovely craftsmanship. A really unique piece that I love wearing, it gets a few compliments! Excellent seller."
1679,"Love them!!! They look awesome with both.  Wonderful earrings!  Thanks so much for all the help, patience & speedy ship!"
1680,"Beautiful ear jackets that I always get compliments on them. Also, great customer service from this vendor. Very happy and will make more purchases from them!"
1681,I get nothing but compliments with these amazing ear jackets!!!! Awesome :)
1682,These are lovely! They are very unique and comfortable. I also like how versatile they are. You can wear just the bar studs for a more minimal look.
1683,"Beautiful and well crafted earrings! 

Catie and Courtney were also wonderful to work with and personally made sure that earrings arrived on time to be gifted.

Great experience. Shop with confidence!"
1684,Gorgeous!  Easily my favorite earrings.  They are striking but perfect for everyday.  Thank you so much!
1685,"The earrings are even more beautiful than they are in the photo, and go very well with everything I wear. They're minimalistic, classy, and spunky all at the same time, which is quite a feat, if I might say so. The purchasing process went very smoothly and the earrings arrived all the way here in Hong Kong without a hitch. Thank you!"
1686,"Love love love these earrings! I get so many compliments. So pretty, and really comfortable to wear."
1687,"LOVE these ear jackets! They're so dainty and unique, exactly what I was looking for. Will definitely purchase from this shop again."
1688,"Uh-mazing, I have gotten so many compliments on these earrings, awesome quality!!"
1689,"Love these earrings I get tons of compliments! Great customer service, will be purchasing again :)"
1690,Gahhhh! So stunning. I just love them. Thank you!
1691,"Earrings came about 1 week after placing order (5d to CA). They're very pretty and unique, I'll definitely order again from this shop. Came with 2 pairs of rubber backings- perfect because I promptly flung one of the backings into the nether regions of my bathroom upon trying them on. Fits perfect. The bars are large, if you want a daintier look maybe go with a different stud combo (ie the leaves with a smaller bar)."
1692,I am in love with these earrings!!!!
1693,As described. I love the simple look of the ear jackets but how unique they still are. I can't wait to rock these!
1694,"These are unique and beautiful, and I get lots of compliments on them. Had an issue with the first package and Catie was quick in resolving it and sending a replacement. Very grateful (and love this shop in general!)"
1695,Everything was fantastic! Love that the earrings were made to order.  Definitely will be ordering again.
1696,Arrived quickly in a super cute package. Love the look and received a tone of compliments already.
1697,❤️❤️❤️
1698,Such a cool ear jacket! I love the style and get so many compliments on it.
1699,Beautiful!
1700,"Look great, well priced!  Love them!"
1701,Very satisfied! Love these and have received so many compliments on them! Sending more customers your way!
1702,Really nice earrings!! So happy with them! Unique & stylish!!! Bravo!
1703,So pretty! I like these earrings a lot and am wearing them all the time. They're perfect! Thank you so much for this perfect service.
1704,Beautiful! I kind of wish the bar was a little bigger/heavier but I still love them.
1705,"Shipped on time and the earrings are gorgeous! Everyone comments that they are unique and beautiful, thank you so much!"
1706,"Every where I go... people ask me about my earrings, now London knows about RenagedeSilver.
Love my earrings !!!"
1707,Perfect
1708,I love them! Beautiful and comfortable to wear. Will buy from you again!
1709,"Really beautiful, well made and look great! Thank you!
Arrived really fast as well."
1710,Very unique beautiful earrings❤️
1711,These earrings are beautiful and very original. Thanks to the designer for her talent and the discount for the next purchase :)
1712,"These are GORGEOUS. Thank you for the fast shipping, too. My sister will love them."
1713,They arrived today and they are gorgeous.  So fast and perfect.  Thank you.
1714,Love it. My wife has been eyeing these for ever. They are even better in person and the packaging was great
1715,"Simple, clean and fun.  Love these earring jackets."
1716,"love these earrings, very cute"
1717,This is my second pair of jacket earrings from this site. Gorgeous look to these unique earrings. Nice light feel & daintiness. Quick delivery too!
1718,Such great earrings! Love!
1719,"These earrings are lovely, well made and unique. I received non-stop compliments and I like how they look with our without the ear jackets."
1720,Love these earrings! Super unique and well made.
1721,Loved it so much that I had to have another pair!
1722,Fantastic purchase!  Truly beautiful earrings.  :-)
1723,These are so unique and fun. I was really looking forward to receiving them in the mail. I was not disappointed.
1724,Such a cute design.  Was delivered quickly too!
1725,exactly as seen and descibed.
1726,"These are awesome! Seller communication brilliant and speedy despite being in different counties. Item arrived really quickly too, did I mention they are awesome?! I live in them. Thank you so much :)"
1727,So obsessed with these earrings I ordered for my sister I just ordered a pair for myself! Love them! Very pretty and unique.
1728,"amazing earrings, I get so many compliments!"
1729,Awesome earrings!! Beautiful on and super cool
1730,Love them :)! Thank you.
1731,"Awesome earrings,  look even better in person!"
1732,Just as amazing in person as they are in the picture !
1733,These are cute. I'm satisfied with them.
1734,I can't stop wearing these! I love them!
1735,Beautifully constructed. Very unique. Arrived on time.
1736,"The earrings are really pretty and one of a kind, but they're very expensive and a few things don't match the price: first, I would've liked to get proper silver backings instead of the cheap rubber ones, it feels like I have bought these earrings from some cheap teenage shop. And second, the packaging is quite bad, the earrings are hanging on a simple piece of cardboard, inside the tiniest cardboard box, coated with cheap foam. Apart from that, I love the earrings."
1737,"Funky, beautiful, and comfortable to wear."
1738,"Shipped on time, good quality, love it!"
1739,Just like the pictures.
1740,Great quality and are very pretty on.
1741,Very cute! I love them. Thanks!
1742,I love these earrings! This is what I'll be buying for my sisters & friends for xmas.
1743,She absolutely loved these!!! (they were a birthday gift)
1744,Absolutely gorgeous earrings! Can’t wait to gift them!
1745,My daughter will love and can even wear the bars separately
1746,"I don't think I'll ever take these earrings off! Incredibly stunning earrings. Seller was a pleasure to work with, earrings arrived quickly and were exactly what I wanted."
1747,Fast shipping and as described. Love them!
1748,"Great service, great earrings, and I love that she included an extra set of backs in case I lose the first. Love!"
1749,"It looks very nice, fast delivery."
1750,"Really gorgeous earrings, thank you so much!"
1751,Very pretty and delicate. Thank you!
1752,Love the earrings. Would use this seller again. Thanks.
1753,These are beautiful earrings however for the price I paid I would expect a proper backing for the earring. the rubber ones that were sent I had problems with. They were slipping off and not staying in place.
1754,"Very cool!  Well-made, and fast shipping - thanks!"
1755,"Beautiful earrings, but wish I had requested metal backs.  The plastic backers were hard on the posts, which bent when put on."
1756,Cute earrings! Thank you for fast shipping!
1757,Exactly as described and great product! Thanks :)
1758,Love the earrings! Service was poor. Given excuses when I asked where my item was. 7 days for a item to ship when it says 2-3 days!
1759,Lovely earrings many thanks
1760,Cute earrings. Was surprised that there was no sterling silver backing. Only plastic rubber.
1761,They were exactly as described. I loved them.
1762,Gaff not no. H no llll.
1763,"They are Beautiful thank you . Packaging is super cute and Fast Shipping too, I will definitely order another pair . I Love them"
1764,These are absolutely beautiful. So many compliments! I just love them.
1765,These are beautiful.  Love them a lot!!!
1766,Fast shipping. Beautiful earrings. Good quality.
1767,Fabulous!  Super fast shipping too!
1768,"The earrings are beautiful, but I failed to read how long they are. They are a little big for my ears (I didn't realize I had such small ears?!), but they are everything they say they are. The quality is amazing and they stay in place well. 
Thank you! ✌🏼️❤️"
1769,"I love these earrings, they're definitely my style, just a bit unique, but I can still wear them to work! I've gotten SO many compliments and they stay in place on my ears! People have even asked where I bought them! Love Love Them!!"
1770,My new fave earrings! My hair is really short its not easy to have statement stud earrings that aren't bulky or childish. Love these!
1771,"Bellissimi, ottima manifattura, brava, sono magnifici"
1772,Gorgeous earrings. Delicate and pretty. Love them. Will order more..
1773,Very happy with my purchase. Quality is superb.
1774,These ear crawler earrings  are delightful and well made and look so delicate and pretty.   International delivery was quick.  Thank you!
1775,I absolutely love these earrings! I get compliments every time I wear them.
1776,Loved the ear crawlers! They were exactly as pictured in your merchandise listing and looked amazing on my ears.
1777,So many compliments! Thank you!
1778,Beautifully designed earrings. They are easy to put on and stay in place throughout the day.
1779,Shipped on time. Love the style when it stays up on your ear. Using an earring back has been helpful to achieve this
1780,"A little bigger than expected, but I can wear them as crawlers or as traditional earrings."
1781,Very nice earrings that became my favorite  :)
1782,arrived quickly and looks amazing- thank you!
1783,Ordering and products are great.
1784,this was a gift and well received
1785,"These are so great!  I purchased a pair for my 20-year-old daughter and 17-year-old grand-daughter.  They are NUTS over them.  They are so adorable that I wish I'd gotten myself a pair!  Gracy was so sweet, as well.  I live in Michigan, so it took 3 weeks to arrive.  Unfortunately, at Christmas, my package sat in US Customs for nearly 2 weeks!"
1786,"These are so great! I purchased a pair for my 20-year-old daughter and 17-year-old grand-daughter. They are NUTS over them. They are so adorable that I wish I'd gotten myself a pair! Gracy was so sweet, as well. I live in Michigan, so it took 3 weeks to arrive. Unfortunately, at Christmas, my package sat in US Customs for nearly 2 weeks!"
1787,"I really liked these earrings and bought them for myself and my two best friends.  One of them has already worn them and told me she's gotten many compliments.  They are light and thin so super easy to wear, but long enough to make a statement.  The owner also gave me a heads up that shipping time might take long, but came quicker than I expected with little lace bags to give as gifts.  The owner even threw in an initial ring, which was very nice.  I would recommend these, especially for the price!"
1788,Adore these earrings and the seller was very responsive.  great purchase overall and I am wearing them with EVERYTHING!
1789,"Wonderful and responsive seller. These are easily one of my new favorite earrings (and included was a sweet midi ring, which I love!). Not only that, but shipping was super-fast and everything was carefully packaged into a sturdy little box and wrapped in felt. This is a shop that cares about the customer, and it shows. Definitely recommend!"
1790,These are my new favorite pair! Shop was so kind and easy to work with. Obsessed with these earrings!!
1791,"The item came beautifully wrapped and is as described. Shipping to Canada from Indonesia took over a month, but it was worth the wait! The X on the earring seems smaller than the photos - it is more suitable for people with smaller ears I think."
1792,"Gorgeous earrings and absolutely amazing service! Delivery was much faster than expected and i received the earrings in a super cute little box, with personal handwritten messages AND a really pretty ring with my initial on it as a free (!) surprise gift. I love both the earrings and the ring, and wear them a lot, and can't praise Henju enough for the customer service. Will defo buy more stuff from her! :)"
1793,"For international shipping, these earrings arrived very quickly! :) Love the minimalist design of these earrings!  Fun to wear and not sharp.  Looks just like the photo!  Thank you!!"
1794,Love them!
1795,Earrings are beautiful! Came with a special note and free ring! Love the whole experience! Highly recommended!
1796,Thank you!! Earrings are exactly what I wanted. Very cute! Shipping said 2 to 4 weeks and I received my package in 3 weeks so I was happy about that. The earrings were also packaged with a fun freebie inside. :)
1797,"These earrings are so darling, and they came with a very sweet thank you from the shop owner! They were worth the wait, after coming from so far away.  :)"
1798,"Was worth the wait!  Very cute, well made, and came in a pretty box with a bow and a handwritten note.  Also got a free gift!  Thank you so much!"
1799,Exactly as advertised. Extremely beautiful and delicate (which is what I wanted). I love it! It came quickly and without issues. Will order from this store again!
1800,Style look  unique design light weight
1801,I am one happy customer! Firstly there was great communication from the seller. I love the earrings! They look exactly like the picture and are so chic and unique. Also I love the little freebie ring with my initial! Thank you so much!
1802,"These earrings are so cool and I'm getting a ton of compliments while wearing them. I love them! Thank you for the extra included in my package, it's great! Buy with confidence~"
1803,"Beautiful, well crafted and sturdy! My new favorite earrings!!!"
1804,I love my it!!!! Fast delivery and such a nice card and gift from Gracie
1805,"Love!! Etsy insists I use more words in my review, but just ""Love!"" is all you need to know!"
1806,"Very nice, simple earrings.  Seller was sweet to interact with.  She thought of everything - the items were boxed up in a nice gift wrap, with cushion to avoid damage.  When I opened it I was thinking, ""it would be nice if these were a bit shinier,""...then I looked, and she included a polishing cloth!

Shipping took time."
1807,thank you - I love them!!!
1808,Beautiful
1809,"The X earrings are Beautiful. I have not worn yet, but looking forward to wearing them on date night. Thank You."
1810,"Loved my earrings! Gracy made sure my earrings arrived promptly, and I even received a sweet, hand-written note and a free customized ring with my order. The jewelry is beautiful and well-made--super happy with ordering from this shop."
1811,I LOVE them! So cute and simple! Thank you!
1812,I love how they look in person! Gracy was also very kind enough to add in a free pair. They are both gorgeous.
1813,SO ADORABLE! Have worn nonstop!
1814,Stunning earrings! Really pleased thank you! Unique and beautiful x
1815,Arrived safely in cute packaging!
1816,So cute! I just love them!
1817,Thank you! The earrings are lovely and also thank you for the extra little ring! Packaging is beautiful as well :)
1818,"second time buying this product. not because i was dissatisfied with it the first time, but because I loved it so much I wanted it in a different color"
1819,Thank you so much for a lovely pair of ear rings! I wear them just about every day! The shipping was very quick and I really appreciate the care you put into crafting them. I will definitely be buying a few of your other items as gifts for others :)
1820,"These are stunning and I love them. Also, I got a really lovely package with a personal message and a little gift in it. Shipped in no time without problems."
1821,Beautiful earrings and great customer service. Shipped quickly and arrived quickly considering the international distance. Seller is very considerate and leaves a handwritten note.
1822,"Really awesome earrings, I love the design!"
1823,"These are adorable, but they don't stay in for more than 5 seconds. They need a backing to hold them in place. I lost one before I even left my house -- still looking for it in the rug."
1824,"Absolutely love this seller, the earrings were shipped with an awesome message...enjoy your journey!  I'm gonna do that & enjoy my beautiful earrings!"
1825,The perfect Christmas gift and the shop owner was such a sweetheart!!! Thank you!!!
1826,Love them! Thank you !
1827,Amazing product!
1828,Totally loved them! And appreciated the free little gift that came with it! Thank you!
1829,I really like the personal touches :)
1830,"Love the earrings! The package arrived wrapped beautifully, it was so nice to open! Thank you. Can't wait to wear."
1831,Exactly what I had hoped for! Beautiful and unique.
1832,"I love them, thank you!"
1833,Very unique and pretty earrings with thoughtful note and a surprise complimentary ring!  Thank you so much.  Will enjoy these for a long time.
1834,"Love them, thanks a bunch!"
1835,Really cute and Nice! Like it! Bit fragile Stuff.
1836,loved them thank you .
1837,Thinner than I thought. Really is just a wire wrapped into a shape. Was expecting them to be a bit stronger. Positive: they are extremely light!!
1838,They arrived so beautifully packaged with care. I love them - thank you!
1839,Great stylish earrings
1840,"This item arrived quickly, despite international shipping. They are unique and pretty."
1841,Lovely earrings! Great packaging and sweet little surprise. Thank you!!
1842,Love them! Have been wearing them daily :)
1843,beautifully crafted! can't wait to wear them!
1844,Really cute and simple earrings.Quite unique
1845,"Cute dainty earrings that seem to be good quality. The shop owner, Gracy, was very thorough during the shipping process."
1846,Fantastica earrings!  I wear them all the time!
1847,"Wonderful seller, very responsive, really like earrings :)"
1848,Boucles d’oreilles originales et jolies.
1849,Very unique & can be word dressy or casual.
1850,Very nice! Thank you
1851,"The ear jackets arrived in good time, nicely packaged and very well made! I would recommend these to anyone :)"
1852,"Super thoughtful packaging with personal touches, well made earrings, good communication after purchase."
1853,Very Nice! My sister is happy
1854,These earrings our very cute ! I get a lot  of complaints! Bought a pair for my daughter and her friend too .
1855,Very cool :-):-) Goes with everything. Thank you.
1856,They bend when you are wearing them. Then they just never look straight again.
1857,Interesting and unique earrings - and thanks for the little extra gift
1858,So pretty! I have thin wrists so I bought the 5.5 size and it fits me perfectly! It's not too tight or too loose. I love it so much :)
1859,So cute and tiny! I bought the Rose Gold Finish and I love the color. My ears are pretty sensitive but these earrings don't seem to hurt very much. It does feel a bit irritated on one side but it's fine.
1860,"She always goes above and beyond to give me such a special experience for my custom orders. I have to be honest and say that this one is EXACTLY what I requested due to the gemstones I researched... and I like the ones she designed with her gemstone choices better! 😝 PHENOMENAL muse! Looking forward to the luck, wealth, and prosperity for 2021!"
1861,I waited a week and a half so that I could give an honest review of the moon earrings. My ears are extremely allergic and this is the first time in almost 5 years that I was able to use a pair of earrings for more than an hour! I haven’t taken them off since I got them on the mail. They’re super cute and minimalistic and i’m definitely getting another pair from apartment020!
1862,"These are the cutest earrings.  My daughter and I took a bee keeping course together and she couldn't love these earrings more!  They came wrapped in Christmas paper because they were a Christmas gift.  Beyond necessary, but very appreciated!"
1863,The owner nailed it on my custom bracelet! It is so beautiful and well made. Quality is superb. Great communication about the design I had in mind for my custom order and any suggestions made by the owner were discussed prior to shipment of my purchase. Fast shipping as well. I'm so happy with my bracelet! Do not hesitate to ask about custom orders. You will not be disappointed.
1864,"These earrings are just as described; cute, dainty and well made. I wear the same earrings every day, so quality matters, and I haven’t stopped wearing these since I got them 2 months ago. Shipped super fast and came with a hand written note. 10 out of 10, would recommend 😊"
1865,"Absolutely love these!! Perfect size, great quality, the post wasn't too long or too short. My normally sensitive ears did not feel a thing when I put these on. Highly recommend!"
1866,"After having a stillbirth in April, I wanted something to help remind me that a positive pregnancy is possible. This is a BEAUTIFUL bracelet and it is so well made. It makes me smile just looking at it."
1867,Fits amazing! I absolutely love love love this bracelet. It’s beautiful and came in beautiful packaging. I also have noticed positive changes in my life since I received it. 10/10 would absolutely recommend
1868,These earrings are beautiful ♥️. Perfect delicate earrings for every day reminds me of Peter Pan which I also love “ second star to the right” that was one of the things that drew me to this set. I love the fact they are made in Toronto it’s nice to support someone local .. shopping small you are supporting someone’s dream
1869,"These earrings are so subtle and lovely. Great quality, nice packaging, and great customer service from the seller."
1870,"Absolutely stunning! These are so cute and the perfect size. They are super sparkly and could pass as real diamonds. Plus, the packaging was very cute. Def my new fav earrings"
1871,Well made and just so cute! I have been eyeing these for awhile and finally decided to treat myself. Love them. So grateful.
1872,Very tiny but super cute.  Great to just leave in all the time.  Wish I could get a little larger pair too!!
1873,"I love this! They’re super dainty and adorable. The white gold is so easy on my ears, and I love this!"
1874,"I got these as a gift for someone, so can't speak to using them personally.  But the shipping was quite fast (considering), and they look great.  They are smaller than expected (less than 1cm) but I probably just didn't read the measurements.  Overall I'm quite happy."
1875,"I love these earrings! Super cute, and very high quality. They are exactly as pictured, and shipped very quickly. Highly recommended 😊"
